"Cage","Date","Hour","Minute","HopsPerMinute","timestamp","Treatment","Sex","LightsOn","LightsOff","Phase"
15,2023-03-03,2,29,0,2023-03-03 02:29:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,30,0,2023-03-03 02:30:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,31,0,2023-03-03 02:31:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,32,0,2023-03-03 02:32:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,33,0,2023-03-03 02:33:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,34,0,2023-03-03 02:34:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,35,0,2023-03-03 02:35:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,36,0,2023-03-03 02:36:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,37,0,2023-03-03 02:37:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,38,0,2023-03-03 02:38:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,39,0,2023-03-03 02:39:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,40,0,2023-03-03 02:40:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,41,0,2023-03-03 02:41:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,42,0,2023-03-03 02:42:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,43,0,2023-03-03 02:43:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,44,0,2023-03-03 02:44:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,45,0,2023-03-03 02:45:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,46,0,2023-03-03 02:46:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,47,0,2023-03-03 02:47:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,48,0,2023-03-03 02:48:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,49,0,2023-03-03 02:49:00,"LD","F","09:00 AM","09:00 PM","night"
